D0,m c0.0003,fc c0.0003,m c0.001,fc c0.001,m c0.003,fc c0.003,m c0.01,fc c0.01,m c0.03,fc c0.03,m c0.1,fc c0.1
1,1.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,7.59E-304,1.00E+00,5.36E-273,1.00E+00,7.52E-245,1.00E+00,5.21E-214
2,1.00E+00,0.00E+00,1.00E+00,0.00E-02,1.00E+00,1.20E-286,1.00E+00,8.50E-256,1.00E+00,1.20E-227,1.00E+00,8.33E-197
3,1.00E+00,0.00E+00,1.00E+00,1.54E-286,1.00E+00,2.18E-258,1.00E+00,1.54E-227,1.00E+00,2.16E-199,1.00E+00,1.50E-168
4,1.00E+00,1.32E-284,1.00E+00,9.37E-254,1.00E+00,1.32E-225,1.00E+00,9.34E-195,1.00E+00,1.31E-166,1.00E+00,9.09E-136
5,1.00E+00,2.44E-249,1.00E+00,1.72E-218,1.00E+00,2.43E-190,1.00E+00,1.72E-159,1.00E+00,2.41E-131,1.00E+00,1.65E-100
6,1.00E+00,1.66E-212,1.00E+00,1.17E-181,1.00E+00,1.66E-153,1.00E+00,1.17E-122,1.00E+00,1.63E-94,9.99E-01,1.10E-63
7,1.00E+00,1.37E-174,1.00E+00,9.69E-144,1.00E+00,1.37E-115,1.00E+00,9.60E-85,1.00E+00,1.33E-56,9.99E-01,8.77E-26
8,1.00E+00,7.01E-136,1.00E+00,4.95E-105,1.00E+00,6.98E-77,1.00E+00,4.88E-46,1.00E+00,6.68E-18,9.86E-01,1.37E-02
9,1.00E+00,1.44E-96,1.00E+00,1.02E-65,1.00E+00,1.43E-37,1.00E+00,9.93E-07,9.75E-01,2.48E-02,8.93E-01,1.07E-01
10,1.00E+00,8.94E-57,1.00E+00,6.31E-26,9.96E-01,3.86E-03,9.53E-01,4.67E-02,8.50E-01,1.50E-01,6.20E-01,3.80E-01
11,1.00E+00,1.35E-16,9.85E-01,1.52E-02,9.28E-01,7.15E-02,7.76E-01,2.24E-01,5.31E-01,4.69E-01,2.55E-01,7.45E-01
12,9.71E-01,2.87E-02,8.82E-01,1.18E-01,7.02E-01,2.98E-01,4.12E-01,5.88E-01,1.91E-01,8.09E-01,6.72E-02,9.33E-01
13,8.31E-01,1.69E-01,5.88E-01,4.12E-01,3.23E-01,6.77E-01,1.27E-01,8.73E-01,4.69E-02,9.53E-01,1.48E-02,9.85E-01
14,4.90E-01,5.10E-01,2.25E-01,7.75E-01,8.95E-02,9.10E-01,2.92E-02,9.71E-01,1.01E-02,9.90E-01,3.11E-03,9.97E-01
15,1.63E-01,8.37E-01,5.62E-02,9.44E-01,1.98E-02,9.80E-01,6.15E-03,9.94E-01,2.10E-03,9.98E-01,6.42E-04,9.99E-01
16,3.83E-02,9.62E-01,1.20E-02,9.88E-01,4.12E-03,9.96E-01,1.26E-03,9.99E-01,4.29E-04,1.00E+00,1.31E-04,1.00E+00
17,8.02E-03,9.92E-01,2.47E-03,9.98E-01,8.40E-04,9.99E-01,2.57E-04,1.00E+00,8.73E-05,1.00E+00,2.67E-05,1.00E+00
18,1.63E-03,9.98E-01,5.00E-04,9.99E-01,1.70E-04,1.00E+00,5.20E-05,1.00E+00,1.77E-05,1.00E+00,5.41E-06,1.00E+00
19,3.29E-04,1.00E+00,1.01E-04,1.00E+00,3.42E-05,1.00E+00,1.05E-05,1.00E+00,3.56E-06,1.00E+00,0.00E+00,1.00E+00
20,6.60E-05,1.00E+00,2.02E-05,1.00E+00,6.86E-06,1.00E+00,2.10E-06,1.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00