DX,M,N,O,MN,NO,MO,MNO,DZ,DZ*DMN,DX*DMO,DX*DMO/DZ*DMN,DX/DZ
1,1.39E-09,1.39E-09,9.96E-06,9.96E-06,3.34E-17,6.90E-24,3.90E-08,1.00000,15.713,1.9,0.1209189843,1
1.5,8.03E-09,8.03E-09,9.15E-06,9.14E-06,1.78E-16,4.77E-22,8.50E-07,0.93983,14.7675,2.85,0.1929913662,1.596038598
1.75,1.75E-08,1.75E-08,7.22E-06,7.21E-06,3.05E-16,3.42E-21,2.78E-06,0.9097403424,14.29475,3.325,0.2326028787,1.923625807
2,3.35E-08,3.35E-08,4.44E-06,4.41E-06,3.59E-16,1.79E-20,5.56E-06,0.87965,13.822,3.8,0.2749240341,2.273621762
2.25,5.80E-08,5.80E-08,2.28E-06,2.22E-06,3.19E-16,7.38E-20,7.72E-06,0.84957,13.34925,4.275,0.3202427103,2.648407214
2.5,9.44E-08,9.44E-08,1.08E-06,9.89E-07,2.47E-16,2.76E-19,8.92E-06,0.81948,12.8765,4.75,0.3688890615,3.050712538
3,1.95E-07,1.95E-07,3.17E-07,1.21E-07,1.50E-16,4.25E-18,9.68E-06,0.75931,11.931,5.7,0.4777470455,3.950968066
4,2.43E-07,2.43E-07,2.43E-07,1.63E-10,1.43E-16,3.30E-15,9.76E-06,0.63896,10.04,7.6,0.7569721116,6.260159363
5,2.46E-07,2.46E-07,2.46E-07,1.62E-13,1.46E-16,3.32E-12,9.75E-06,0.51862,8.149,9.5,1.165787213,9.641060253
6,2.36E-07,2.40E-07,2.36E-07,1.74E-16,1.37E-16,3.42E-09,9.76E-06,0.39827,6.258,11.4,1.821668265,15.06519655
7,1.03E-07,8.97E-07,1.03E-07,4.35E-19,2.24E-16,7.94E-07,9.10E-06,0.27792,4.367,13.3,3.045569041,25.18685597
7.25,6.40E-08,1.88E-06,6.40E-08,1.20E-19,2.92E-16,1.82E-06,8.12E-06,0.24784,3.89425,13.775,3.537266483,29.25319381
7.5,3.74E-08,3.77E-06,3.74E-08,3.13E-20,3.41E-16,3.73E-06,6.23E-06,0.21775,3.4215,14.25,4.164839982,34.44322665
7.75,2.01E-08,6.46E-06,2.01E-08,6.80E-21,3.14E-16,6.44E-06,3.54E-06,0.18766,2.94875,14.725,4.993641373,41.29741416
8,9.52E-09,8.74E-06,9.52E-09,1.11E-21,2.01E-16,8.73E-06,1.26E-06,0.15758,2.476,15.2,6.138933764,50.76898223
8.5,1.68E-09,9.93E-06,1.68E-09,2.15E-23,4.03E-17,9.93E-06,6.89E-08,0.09740342392,1.5305,16.15,10.55210715,87.26592617
9,2.77E-10,1.00E-05,2.77E-10,1.45E-24,6.69E-18,1.00E-05,3.83E-09,0.03723,0.585,17.1,29.23076923,241.7384615